pastgame_GD,Fitted
-2.25,-2.1607893395704334
-2.25,-2.1607893395704334
-2.25,-2.1607893395704334
-2.25,-2.1607893395704334
-2.25,-2.1607893395704334
-2.25,-2.1607893395704334
-2.25,-2.1607893395704334
-2.25,-2.1607893395704334
-2.25,-2.1607893395704334
-2.25,-2.1607893395704334
-2.25,-2.1607893395704334
-2.25,-2.1607893395704334
-2.25,-2.1607893395704334
-2.25,-2.1607893395704334
-2.25,-2.1607893395704334
-2.25,-2.1607893395704334
-2.25,-2.1607893395704334
-2.25,-2.1607893395704334
-2.25,-2.1607893395704334
-2.25,-2.1607893395704334
-2.25,-2.1607893395704334
-2.25,-2.1607893395704334
-2.25,-2.1607893395704334
-2.25,-2.1607893395704334
-2.25,-2.1607893395704334
-2.25,-2.1607893395704334
-2.25,-2.1607893395704334
-2.25,-2.1607893395704334
-2.25,-2.1607893395704334
